# Model run (UTC): 2025-11-21 12:00
# Created (UTC): 2025-11-21 14:43
time_utc,wind_speed_ms,wind_dir_deg,hs_m,tp_s,mean_wave_period_s,mean_zerocrossing_period_s,mean_wave_dir_deg,windwave_hs_m,windwave_tp_s,windwave_dir_deg,swell_hs_m,swell_tp_s,swell_dir_deg,benjamin_feir_index
2025-11-26T11:00:00+00:00,4.6201887,211.62503,0.56836337,9.28125,4.328125,2.6074219,252.50415,0.34180087,2.544089,212.375,0.45410556,5.3359375,277.13477,0.025146484
2025-11-26T12:00:00+00:00,6.9479117,212.50485,0.73828524,3.5390625,3.8359375,2.7285156,237.50024,0.6191446,3.012839,219.25,0.40039462,5.8007812,286.8755,0.28344727
2025-11-26T13:00:00+00:00,7.783809,212.38489,0.9160196,3.9570312,3.9140625,3.0605469,232.50827,0.81055087,3.450339,221.0,0.42480868,5.6132812,281.63287,0.3557129
2025-11-26T14:00:00+00:00,8.619533,212.1593,1.0566447,4.3398438,4.1328125,3.3417969,230.75433,0.9550821,3.7960422,221.5,0.45117587,5.6367188,278.0005,0.35180664
2025-11-26T15:00:00+00:00,9.455511,212.02734,1.2109416,4.7460938,4.3945312,3.5976562,230.05377,1.109379,4.118308,222.0,0.48633212,5.8359375,276.12723,0.3269043
2025-11-26T16:00:00+00:00,10.200911,212.75,1.4023478,5.1953125,4.7148438,3.8769531,230.50458,1.2910197,4.4542456,223.0,0.55078524,6.1523438,274.5286,0.30615234
2025-11-26T17:00:00+00:00,10.937499,213.37506,1.6503947,5.671875,5.09375,4.1953125,231.16077,1.5214884,4.8253393,224.0,0.63672274,6.6132812,274.2624,0.29516602
2025-11-26T18:00:00+00:00,11.682285,213.90466,1.937504,6.140625,5.4960938,4.5351562,231.88037,1.7890666,5.2159643,224.75,0.7421915,7.1171875,274.51184,0.2866211
2025-11-26T19:00:00+00:00,12.076105,212.50293,2.218754,6.5234375,5.8828125,4.845703,231.91776,2.0546916,5.6065893,225.0,0.8378946,7.5507812,275.137,0.32958984
2025-11-26T20:00:00+00:00,12.476271,211.1748,2.4746134,6.9804688,6.2382812,5.1464844,231.61469,2.2753947,5.926902,224.125,0.97266024,7.9414062,273.50406,0.3059082
2025-11-26T21:00:00+00:00,12.8887205,210.01459,2.734379,7.4101562,6.5859375,5.4160156,231.15192,2.4863322,6.212058,222.75,1.1367228,8.3671875,271.50052,0.27612305
2025-11-26T22:00:00+00:00,12.718701,211.01163,2.9785197,7.7382812,6.9414062,5.701172,231.29962,2.6660197,6.489402,222.0,1.3271525,8.7578125,269.38702,0.3022461
2025-11-26T23:00:00+00:00,12.545933,212.13263,3.1933634,8.234375,7.3007812,5.9960938,232.12836,2.78809,6.7218237,221.125,1.5576212,9.152344,267.64957,0.26538086
2025-11-27T00:00:00+00:00,12.386138,213.26031,3.3710978,8.515625,7.5976562,6.2597656,232.76508,2.8769572,6.911277,220.75,1.7578166,9.433594,265.53513,0.28442383
