# Model run (UTC): 2025-12-02 06:00
time_utc,s1_h,s1_p,s1_dir,s1_dirMin,s2_h,s2_p,s2_dir,s2_dirMin,s3_h,s3_p,s3_dir,s3_dirMin,s4_h,s4_p,s4_dir,s4_dirMin,s5_h,s5_p,s5_dir,s5_dirMin,s6_h,s6_p,s6_dir,s6_dirMin,s1_impact,s2_impact,s3_impact,s4_impact,s5_impact,s6_impact
2025-12-03T07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,14.0,294.1,289.9,1.2,7.0,192.1,180.4,0.9,7.0,261.8,250.9,0.0,0.0,0.0,0.247,0.383,0.337
2025-12-03T08:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,14.0,294.0,289.9,1.2,7.0,191.5,178.8,0.9,7.0,263.3,252.4,0.0,0.0,0.0,0.25,0.391,0.324
2025-12-03T09:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,14.0,294.1,290.0,1.1,7.0,189.5,175.7,0.9,7.0,263.8,252.8,0.0,0.0,0.0,0.251,0.393,0.32
2025-12-03T10:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,14.0,293.8,289.8,1.2,7.0,188.3,173.5,0.8,6.0,266.6,255.7,0.0,0.0,0.0,0.25,0.402,0.311
2025-12-03T11:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,14.0,293.5,289.4,1.1,7.0,185.6,170.4,0.8,6.0,265.5,254.1,0.0,0.0,0.0,0.254,0.393,0.315
2025-12-03T12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,14.0,293.5,289.4,1.1,7.0,182.0,166.6,0.8,6.0,263.8,252.0,0.0,0.0,0.0,0.257,0.388,0.316
2025-12-03T13:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,13.0,293.4,289.4,1.2,7.0,178.8,163.1,0.8,6.0,262.3,250.3,0.0,0.0,0.0,0.252,0.391,0.317
2025-12-03T14:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,13.0,293.7,289.5,1.2,7.0,177.9,161.5,0.7,6.0,262.6,250.9,0.0,0.0,0.0,0.256,0.408,0.296
2025-12-03T15:00:00+00:00,1.2,6.0,214.2,198.3,0.8,4.0,139.7,127.6,0.2,7.0,313.7,309.6,0.5,13.0,293.5,289.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.537,0.1,0.051,0.282,0.0,0.0
2025-12-03T16:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,13.0,293.6,289.5,1.4,6.0,191.6,169.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315,0.617,0.0
2025-12-03T17:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,6.0,317.7,314.3,0.5,13.0,293.5,289.4,1.4,6.0,190.8,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0.31,0.604,0.0
2025-12-03T18:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,6.0,318.0,314.5,0.5,13.0,293.4,289.2,1.4,6.0,192.2,172.2,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.314,0.6,0.0
2025-12-03T19:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,7.0,317.2,312.9,0.5,13.0,293.4,289.2,1.3,6.0,194.5,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.308,0.598,0.0
2025-12-03T20:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,7.0,317.5,313.0,0.5,14.0,293.5,289.3,1.3,6.0,197.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041,0.314,0.593,0.0
2025-12-03T21:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,7.0,321.1,317.3,0.5,14.0,293.6,289.5,1.2,6.0,199.6,181.1,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.316,0.603,0.0
2025-12-03T22:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,6.0,320.8,316.1,0.5,14.0,293.6,289.5,1.2,6.0,202.3,184.2,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.318,0.602,0.0
2025-12-03T23:00:00+00:00,0.8,6.0,233.8,223.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,14.0,293.7,289.6,0.0,0.0,0.0,0.0,0.9,6.0,178.9,165.1,0.388,0.0,0.0,0.25,0.0,0.32
2025-12-04T00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,7.0,326.4,323.4,0.5,14.0,293.8,289.7,1.2,6.0,207.6,190.6,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.305,0.626,0.0
2025-12-04T01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,7.0,327.4,324.3,0.5,14.0,293.8,289.6,1.2,6.0,209.1,192.6,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.303,0.629,0.0
2025-12-04T02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,7.0,328.6,325.6,0.5,14.0,293.6,289.7,1.2,6.0,209.8,193.6,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.304,0.635,0.0
2025-12-04T03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,7.0,329.3,326.3,0.5,13.0,293.6,289.8,1.2,6.0,209.8,193.8,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.304,0.634,0.0
2025-12-04T04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,7.0,330.1,327.0,0.5,13.0,293.6,289.8,1.2,6.0,209.3,193.2,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.305,0.632,0.0
2025-12-04T05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,8.0,330.5,327.5,0.5,13.0,293.6,289.8,1.2,6.0,208.6,192.3,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.305,0.631,0.0
2025-12-04T06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,13.0,293.6,289.8,1.1,6.0,207.8,191.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.303,0.625,0.0
2025-12-04T07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,13.0,293.6,289.8,1.1,6.0,207.1,190.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.305,0.621,0.0
2025-12-04T08:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,13.0,293.6,289.8,1.1,6.0,205.7,188.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.303,0.622,0.0
2025-12-04T09:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,13.0,293.6,289.8,1.1,6.0,203.9,186.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.299,0.626,0.0
2025-12-04T10:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,13.0,293.6,289.9,1.1,6.0,201.7,183.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.296,0.627,0.0
2025-12-04T11:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,13.0,293.6,289.8,1.2,6.0,199.6,181.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.288,0.637,0.0
2025-12-04T12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,13.0,293.7,290.0,1.2,6.0,198.7,180.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.277,0.648,0.0
2025-12-04T13:00:00+00:00,1.2,6.0,211.7,199.1,0.6,4.0,139.0,128.2,0.0,0.0,0.0,0.0,0.4,13.0,293.6,289.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.601,0.093,0.0,0.253,0.0,0.0
2025-12-04T14:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,13.0,293.5,289.9,1.4,6.0,197.0,178.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.667,0.0
2025-12-04T15:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,13.0,293.7,289.7,1.4,6.0,195.7,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.679,0.0
2025-12-04T16:00:00+00:00,1.3,6.0,207.3,194.2,0.6,4.0,129.7,120.7,0.0,0.0,0.0,0.0,0.4,13.0,293.9,289.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.044,0.0,0.237,0.0,0.0
2025-12-04T17:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,13.0,293.8,289.3,1.5,7.0,194.0,175.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.7,0.0
2025-12-04T18:00:00+00:00,1.3,7.0,210.4,199.0,0.8,5.0,139.6,127.8,0.0,0.0,0.0,0.0,0.4,12.0,293.7,289.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.633,0.115,0.0,0.205,0.0,0.0
2025-12-04T19:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,12.0,293.6,289.1,1.6,7.0,190.3,171.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.217,0.714,0.0
2025-12-04T20:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,12.0,293.5,289.0,1.7,7.0,187.7,169.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.208,0.725,0.0
2025-12-04T21:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,12.0,293.4,288.9,1.8,7.0,186.6,168.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.205,0.726,0.0
